iter	RMSE
0	3.020659601
1	2.984123771
2	2.947606516
3	2.914716157
4	2.883314231
5	2.85444048
6	2.823542433
7	2.794972155
8	2.766416152
9	2.741372366
10	2.714367887
11	2.690723774
12	2.666386257
13	2.642922673
14	2.621671667
15	2.599601627
16	2.57984741
17	2.561113276
18	2.543813111
19	2.527674445
20	2.508518576
21	2.49149806
22	2.476631668
23	2.463794043
24	2.449537454
25	2.433810265
26	2.422200668
27	2.409450388
28	2.396652297
29	2.384091182
30	2.37415912
31	2.364937467
32	2.355034391
33	2.344138908
34	2.335883153
35	2.326712983
36	2.318446234
37	2.311883107
38	2.302448338
39	2.295002684
40	2.285529834
41	2.277978061
42	2.271591463
43	2.265039657
44	2.259824419
45	2.254303518
46	2.248293218
47	2.245017526
48	2.238131289
49	2.23174215
50	2.226050293
51	2.221722347
52	2.21581548
53	2.211156135
54	2.207393914
55	2.202598725
56	2.19808265
57	2.193394847
58	2.189476407
59	2.183002385
60	2.179586594
61	2.174999224
62	2.170768612
63	2.168383809
64	2.165132656
65	2.161087503
66	2.157771625
67	2.153163309
68	2.150539888
69	2.146713244
70	2.143333602
71	2.139888901
72	2.136681287
73	2.13461728
74	2.128884497
75	2.127192476
76	2.123983419
77	2.120614311
78	2.118404952
79	2.115860813
80	2.113214482
81	2.111194492
82	2.109163591
83	2.106811634
84	2.104719667
85	2.101957226
86	2.098539618
87	2.096183082
88	2.094067515
89	2.091796404
90	2.088626143
91	2.086068984
92	2.084139892
93	2.081436538
94	2.078935253
95	2.076473144
96	2.074819291
97	2.073164145
98	2.070934706
99	2.06953121
100	2.066912673
101	2.065227725
102	2.063771285
103	2.061590264
104	2.06053798
105	2.059471797
106	2.056712449
107	2.053607493
108	2.053256758
109	2.049197873
110	2.045830703
111	2.045169399
112	2.042798284
113	2.041249131
114	2.038979018
115	2.036894813
116	2.035999229
117	2.033369284
118	2.032732201
119	2.029371636
120	2.027973556
121	2.026668837
122	2.025301296
123	2.023776876
124	2.022093787
125	2.020932107
126	2.01649967
127	2.014768137
128	2.012808986
129	2.009365899
130	2.008164924
131	2.007305766
132	2.006856509
133	2.003046899
134	2.000949401
135	1.999407087
136	1.997817932
137	1.996966915
138	1.995165021
139	1.993767638
140	1.99232571
141	1.991159774
142	1.990781428
143	1.990689293
144	1.988753284
145	1.987571367
146	1.98691762
147	1.985967481
148	1.984543604
149	1.983511978
150	1.981728954
151	1.979369499
152	1.978324793
153	1.977670767
154	1.977390409
155	1.976028275
156	1.974430351
157	1.972705467
158	1.972164498
159	1.971022282
160	1.970114924
161	1.96895829
162	1.967670227
163	1.966366133
164	1.963940481
165	1.961264844
166	1.959704039
167	1.958545123
168	1.957765401
169	1.956711679
170	1.955833566
171	1.954691379
172	1.952352881
173	1.948813116
174	1.948767715
175	1.948194936
176	1.946992428
177	1.946365697
178	1.945067482
179	1.942712834
180	1.941694254
181	1.941155033
182	1.939974799
183	1.939280908
184	1.937369271
185	1.935318977
186	1.934299993
187	1.933667906
188	1.933623706
189	1.933107021
190	1.932201017
191	1.930904508
192	1.929654266
193	1.928010628
194	1.926958697
195	1.925897366
196	1.924484162
197	1.923836218
198	1.922902269
199	1.921859093
200	1.921240905
201	1.920469949
202	1.919527268
203	1.919030569
204	1.918262924
205	1.917408923
206	1.91638063
207	1.913432131
208	1.910584076
209	1.909331236
210	1.907958524
211	1.907360187
212	1.905697877
213	1.903856273
214	1.903165286
215	1.900529172
216	1.899653423
217	1.897912954
218	1.897055275
219	1.89653477
220	1.895732734
