iter	Passed	Remaining
0	30	51654
1	66	56697
2	98	55737
3	133	56792
4	167	56658
5	201	56944
6	236	57318
7	275	58304
8	311	58555
9	346	58512
10	383	58832
11	417	58729
12	453	58885
13	491	59161
14	528	59369
15	565	59469
16	601	59592
17	647	60527
18	716	63408
19	763	64173
20	798	63878
21	836	63780
22	872	63652
23	907	63401
24	943	63236
25	979	63063
26	1016	63004
27	1053	62911
28	1090	62824
29	1126	62700
30	1163	62622
31	1197	62435
32	1235	62428
33	1272	62363
34	1307	62193
35	1344	62128
36	1379	61992
37	1414	61884
38	1454	61928
39	1490	61874
40	1527	61793
41	1563	61728
42	1600	61678
43	1637	61621
44	1673	61553
45	1709	61464
46	1744	61369
47	1768	60866
48	1804	60811
49	1840	60746
50	1876	60681
51	1912	60601
52	1949	60580
53	1984	60504
54	2022	60488
55	2058	60446
56	2094	60361
57	2131	60334
58	2166	60265
59	2203	60219
60	2240	60208
61	2276	60135
62	2311	60065
63	2347	60019
64	2383	59951
65	2419	59893
66	2458	59914
67	2494	59871
68	2530	59812
69	2566	59762
70	2602	59713
71	2639	59682
72	2675	59631
73	2711	59570
74	2747	59526
75	2782	59466
76	2818	59402
77	2853	59344
78	2905	59608
79	2941	59574
80	2979	59552
81	3014	59477
82	3051	59458
83	3087	59403
84	3123	59346
85	3159	59303
86	3196	59254
87	3231	59193
88	3267	59143
89	3302	59073
90	3338	59025
91	3375	59000
92	3410	58937
93	3447	58897
94	3484	58875
95	3521	58840
96	3556	58779
97	3594	58760
98	3631	58722
99	3667	58682
100	3703	58637
101	3741	58611
102	3791	58782
103	3827	58736
104	3862	58672
105	3897	58606
106	3933	58555
107	3970	58528
108	3982	58124
109	4017	58074
110	4054	58035
111	4088	57966
112	4123	57907
113	4158	57859
114	4195	57819
115	4232	57793
116	4269	57761
117	4306	57730
118	4340	57672
119	4376	57618
120	4411	57565
121	4448	57536
122	4487	57536
123	4538	57679
124	4606	58037
125	4660	58218
126	4696	58173
127	4734	58140
128	4770	58090
129	4806	58047
130	4843	58007
131	4878	57948
132	4913	57896
133	4950	57857
134	4986	57809
135	5023	57772
136	5059	57724
137	5094	57661
138	5131	57627
139	5167	57579
140	5202	57522
141	5239	57482
142	5274	57427
143	5297	57243
144	5334	57210
145	5370	57164
146	5405	57112
147	5442	57076
148	5478	57029
